Company name;Source type;Year;URL
BHP Billiton;Annual report;2014;http://www.bhpbilliton.com/home/investors/reports/Documents/2013/BHPBillitonAnnualReport2013.pdf
BHP Billiton;Annual report;2013;http://www.bhpbilliton.com/home/investors/reports/Documents/2012/BHPBillitonAnnualReport2012.pdf
BHP Billiton;Annual report;2012;http://www.bhpbilliton.com/home/investors/reports/Documents/2011/BHPBillitonSummaryReview2011.pdf
BHP Billiton;CSR report;2014;http://www.bhpbilliton.com/home/society/reports/Documents/2013/BHPBillitonSustainabilityReport2013.pdf
BHP Billiton;CSR report;2013;http://www.bhpbilliton.com/home/society/reports/Documents/2012/BHPBillitonSustainabilityReport2012_interactive.pdf
BHP Billiton;CSR report;2012;http://www.bhpbilliton.com/home/society/reports/Documents/2011/BHPBillitonSustainabilityReport2011_Interactive.pdf
BHP Billiton;Media releases;2014;http://www.bhpbilliton.com/home/investors/reports/Documents/2014/140723_BHPBillitonOperationalReviewfortheYearEnded30June2014.pdf
BHP Billiton;Media releases;2014;http://www.bhpbilliton.com/home/investors/reports/Documents/2014/BHPBillitonOurContribution2014.pdf
BHP Billiton;Media releases;2013;http://www.bhpbilliton.com/home/investors/reports/Documents/2014/140513_BoAML%20Metals%20Mining%20and%20Steel%20Conference.pdf
BHP Billiton;Media releases;2013;http://www.bhpbilliton.com/home/investors/reports/Documents/2014/140416_BHPBillitonOperationalReviewfortheQuarterEnded31March2014.pdf
BHP Billiton;Media releases;2012;http://www.bhpbilliton.com/home/investors/reports/Documents/2014/140402_BHPBillitonDiscussestheGlobalOutlookforCoalatCEDA_Speech.pdf
BHP Billiton;Media releases;2012;http://www.bhpbilliton.com/home/investors/reports/Documents/2014/140311_AustralianJournalofMiningConference.pdf
BHP Billiton;Investor presentations;2014;http://www.bhpbilliton.com/home/investors/reports/Documents/2014/140513_BoAML%20Metals%20Mining%20and%20Steel%20Conference.pdf
BHP Billiton;Investor presentations;2013;http://www.bhpbilliton.com/home/investors/news/Documents/2013/130514_BHP%20Billiton%20Presentation%20-%20Bank%20of%20America%20Merrill%20Lynch%202013%20Global%20Metals,%20Mining%20and%20Steel%20Conference.pdf
BHP Billiton;Investor presentations;2012;http://www.bhpbilliton.com/home/investors/reports/Documents/2012/121211_Macquarie%20Metals%20and%20Mining%20Conference_A%20Calderon.pdf
BHP Billiton;Conference call transcripts;2014;http://www.bhpbilliton.com/home/investors/reports/Documents/2014/140304_CERASpeech.pdf
BHP Billiton;Conference call transcripts;2013;http://www.bhpbilliton.com/home/investors/reports/Documents/2012/121114_Australian%20Resources%20Conference.pdf
BHP Billiton;Conference call transcripts;2012;http://www.bhpbilliton.com/home/investors/reports/Documents/2012/120904_BarclaysCEOEnergyPowerConference.pdf
Rio Tinto;Annual report;2014;http://www.riotinto.com/documents/RT_Annual_report_2013.pdf
Rio Tinto;Annual report;2013;http://www.riotinto.com/documents/rio_tinto_2012_annual_report.pdf
Rio Tinto;Annual report;2012;http://www.riotinto.com/documents/Investors/Rio_Tinto_2011_Annual_report.pdf
Rio Tinto;CSR report;2014;http://www.riotinto.com/sustainabledevelopment2013/_pdf/rio_tinto_2013_sustainable_development.pdf
Rio Tinto;CSR report;2013;http://www.riotinto.com/documents/rio_tinto_2012_annual_report.pdf
Rio Tinto;CSR report;2012;http://www.riotinto.com/documents/Investors/Rio_Tinto_2011_Annual_report.pdf
Rio Tinto;Media releases;2014;http://www.riotinto.com/documents/070814_Rio_Tinto_announces_a_21_per_cent_increase_in_first_half_underlying_earnings_to__5.1_billion.pdf
Rio Tinto;Media releases;2013;http://www.riotinto.com/documents/060814_Rio_Tinto_Board_announcement.pdf
Rio Tinto;Media releases;2012;http://www.riotinto.com/documents/140730_Rio_Tinto_agrees_sale_of_coal_assets_in_Mozambique.pdf
Rio Tinto;Investor presentations;2014;http://www.riotinto.com/documents/140704_Presentation_Rio_Tinto_sustainable_development_workshop_Sydney.pdf
Rio Tinto;Investor presentations;2013;http://www.riotinto.com/documents/140627_RioTinto_Alcan_site_visit_case_studies.pdf
Rio Tinto;Investor presentations;2012;http://www.riotinto.com/documents/RTA_IR_Site_visit.pdf
Rio Tinto;Conference call transcripts;2014;http://www.riotinto.com/documents/140716_Rio_Tinto_delivers_very_strong_first_half_production.pdf
Rio Tinto;Conference call transcripts;2013;http://www.riotinto.com/documents/140709_Rio_Tinto_hosts_two_prime_ministers_at_its_Pilbara_operations.pdf
Rio Tinto;Conference call transcripts;2012;http://www.riotinto.com/documents/140602_Sale_of_interest_in_Clermont_Mine_completed.pdf
Anglo American;Annual report;2014;http://www.angloamerican.com/~/media/Files/A/Anglo-American-Plc/reports/annual-report2012.pdf
Anglo American;Annual report;2013;http://www.angloamerican.com/~/media/Files/A/Anglo-American-Plc/reports/aa-annual-report-2011.pdf
Anglo American;Annual report;2012;http://www.angloamerican.com/~/media/Files/A/Anglo-American-Plc/investors/reports/2011rep/angloamerican-annual-report-2010.pdf
Anglo American;CSR report;2014;http://www.angloamerican.com/~/media/Files/A/Anglo-American-Plc/reports/AA-SDR-2012.pdf
Anglo American;CSR report;2013;http://www.angloamerican.com/~/media/Files/A/Anglo-American-Plc/reports/AA-SDR-2011.pdf
Anglo American;CSR report;2012;http://www.angloamerican.com/~/media/Files/A/Anglo-American-Plc/reports/angloamerican-sd-reporthjz-2010.pdf
Anglo American;Media releases;2014;http://www.angloamerican.com/media/releases/2014pr/25-07-2014a.aspx
Anglo American;Media releases;2013;http://www.angloamerican.com/media/releases/2014pr/22-07-2014.aspx
Anglo American;Media releases;2012;http://www.angloamerican.com/media/releases/2014pr/21-07-2014.aspx
Anglo American;Investor presentations;2014;http://www.angloamerican.com/~/media/Files/A/Anglo-American-Plc/investors/presentations/2014pres/presentation-to-socially-responsible-investment-analysts.pdf
Anglo American;Investor presentations;2013;http://www.angloamerican.com/~/media/Files/A/Anglo-American-Plc/investors/presentations/2014pres/presentation-to-socially-responsible-investment-analysts.pdf
Anglo American;Investor presentations;2012;http://www.angloamerican.com/~/media/Files/A/Anglo-American-Plc/investors/presentations/2014pres/BoAML-may-2014-presentation-v2.pdf
Anglo American;Conference call transcripts;2014;http://www.angloamerican.com/~/media/Files/A/Anglo-American-Plc/investors/meetings/agm2014/annual-general-meeting-chief-executives-address-v1.pdf
Anglo American;Conference call transcripts;2013;http://www.angloamerican.com/~/media/Files/A/Anglo-American-Plc/media/releases/2014pr/anglo-american-fy2013-analysts-conference-call-trancsript.PDF
Anglo American;Conference call transcripts;2012;http://www.angloamerican.com/~/media/Files/A/Anglo-American-Plc/investors/presentations/2013pres/analyst-presentation-transcript-12-december-2013.pdf
